id     signature                                                                                             identifier                                                                                            splitted_identifier                                                                                   lemma                                               posta  FK_dt
6620   void softDispose(org.kie.api.runtime.manager.RuntimeEngine)                                           softDispose                                                                                           soft dispose                                                                                          soft dispose                                        JJ VB  15   
6621   void validate(org.kie.api.runtime.KieSession,org.jbpm.runtime.manager.impl.Context)                   validate                                                                                              validate                                                                                              validate                                            VB     15   
6622   void saveLocalRuntime(java.lang.Object,org.kie.api.runtime.manager.RuntimeEngine)                     saveLocalRuntime                                                                                      save local runtime                                                                                    save local runtime                                  IN JJ  15   
6623   java.util.Map initialValue()                                                                          initialValue                                                                                          initial value                                                                                         initial value                                       JJ NN  1075 
6624   boolean isAfterCompletion()                                                                           isAfterCompletion                                                                                     is after completion                                                                                   be after completion                                 VBZ I  1    
6625   boolean isDisposed()                                                                                  isDisposed                                                                                            is disposed                                                                                           be dispose                                          VBZ V  1    
6626   org.kie.api.runtime.KieSession internalGetKieSession()                                                internalGetKieSession                                                                                 internal get kie session                                                                              internal get kie session                            JJ VB  118  
6627   org.kie.api.runtime.manager.audit.AuditService getAuditService()                                      getAuditService                                                                                       get audit service                                                                                     get audit service                                   VB NN  1076 
6628   org.kie.api.task.TaskService getTaskService()                                                         getTaskService                                                                                        get task service                                                                                      get task service                                    VB NN  829  
6629   void addDisposeListener(org.kie.internal.runtime.manager.DisposeListener)                             addDisposeListener                                                                                    add dispose listener                                                                                  add dispose listener                                VB VB  15   
6630   void internalSetKieSession(org.kie.api.runtime.KieSession)                                            internalSetKieSession                                                                                 internal set kie session                                                                              internal set kie session                            JJ NN  15   
6631   java.lang.Object getInstanceFromModel(org.kie.internal.runtime.conf.ObjectModel,org.kie.api.runtime.  getInstanceFromModel                                                                                  get instance from model                                                                               get instance from model                             VB NN  2    
6632   org.jbpm.runtime.manager.impl.RuntimeEnvironmentBuilder addAsset(org.kie.api.io.Resource,org.kie.api  addAsset                                                                                              add asset                                                                                             add asset                                           VB NN  1078 
6633   org.jbpm.runtime.manager.impl.RuntimeEnvironmentBuilder addConfiguration(java.lang.String,java.lang.  addConfiguration                                                                                      add configuration                                                                                     add configuration                                   VB NN  1078 
6634   org.jbpm.runtime.manager.impl.RuntimeEnvironmentBuilder addEnvironmentEntry(java.lang.String,java.la  addEnvironmentEntry                                                                                   add environment entry                                                                                 add environment entry                               VB NN  1078 
6635   org.jbpm.runtime.manager.impl.RuntimeEnvironmentBuilder classLoader(java.lang.ClassLoader)            classLoader                                                                                           class loader                                                                                          class loader                                        NN NN  1078 
6636   org.jbpm.runtime.manager.impl.RuntimeEnvironmentBuilder entityManagerFactory(java.lang.Object)        entityManagerFactory                                                                                  entity manager factory                                                                                entity manager factory                              NN NN  1078 
6637   org.jbpm.runtime.manager.impl.RuntimeEnvironmentBuilder getClasspathKmoduleDefault()                  getClasspathKmoduleDefault                                                                            get classpath kmodule default                                                                         get classpath kmodule default                       VB JJ  1078 
6638   org.jbpm.runtime.manager.impl.RuntimeEnvironmentBuilder getClasspathKmoduleDefault(java.lang.String,  getClasspathKmoduleDefault                                                                            get classpath kmodule default                                                                         get classpath kmodule default                       VB JJ  1078 
6639   org.jbpm.runtime.manager.impl.RuntimeEnvironmentBuilder getDefault()                                  getDefault                                                                                            get default                                                                                           get default                                         VB NN  1078 
6640   org.jbpm.runtime.manager.impl.RuntimeEnvironmentBuilder getDefault(java.lang.String,java.lang.String  getDefault                                                                                            get default                                                                                           get default                                         VB NN  1078 
6641   org.jbpm.runtime.manager.impl.RuntimeEnvironmentBuilder getDefault(java.lang.String,java.lang.String  getDefault                                                                                            get default                                                                                           get default                                         VB NN  1078 
6642   org.jbpm.runtime.manager.impl.RuntimeEnvironmentBuilder getDefault(org.kie.api.builder.ReleaseId)     getDefault                                                                                            get default                                                                                           get default                                         VB NN  1078 
6643   org.jbpm.runtime.manager.impl.RuntimeEnvironmentBuilder getDefault(org.kie.api.builder.ReleaseId,jav  getDefault                                                                                            get default                                                                                           get default                                         VB NN  1078 
6644   org.jbpm.runtime.manager.impl.RuntimeEnvironmentBuilder getDefaultInMemory()                          getDefaultInMemory                                                                                    get default in memory                                                                                 get default in memory                               VB NN  1078 
6645   org.jbpm.runtime.manager.impl.RuntimeEnvironmentBuilder getEmpty()                                    getEmpty                                                                                              get empty                                                                                             get empty                                           VB JJ  1078 
6646   org.jbpm.runtime.manager.impl.RuntimeEnvironmentBuilder knowledgeBase(org.kie.api.KieBase)            knowledgeBase                                                                                         knowledge base                                                                                        knowledge base                                      NN NN  1078 
6647   org.jbpm.runtime.manager.impl.RuntimeEnvironmentBuilder mapper(org.kie.internal.runtime.manager.Mapp  mapper                                                                                                mapper                                                                                                mapper                                              NN     1078 
6648   org.jbpm.runtime.manager.impl.RuntimeEnvironmentBuilder persistence(boolean)                          persistence                                                                                           persistence                                                                                           persistence                                         NN     1078 
6649   org.jbpm.runtime.manager.impl.RuntimeEnvironmentBuilder registerableItemsFactory(org.kie.api.runtime  registerableItemsFactory                                                                              registerable items factory                                                                            registerable item factory                           JJ NN  1078 
6650   org.jbpm.runtime.manager.impl.RuntimeEnvironmentBuilder schedulerService(java.lang.Object)            schedulerService                                                                                      scheduler service                                                                                     scheduler service                                   NN NN  1078 
6651   org.jbpm.runtime.manager.impl.RuntimeEnvironmentBuilder setupClasspathKmoduleBuilder(org.kie.api.run  setupClasspathKmoduleBuilder                                                                          setup classpath kmodule builder                                                                       setup classpath kmodule builder                     NN NN  1078 
6652   org.jbpm.runtime.manager.impl.RuntimeEnvironmentBuilder userGroupCallback(org.kie.api.task.UserGroup  userGroupCallback                                                                                     user group callback                                                                                   user group callback                                 NN NN  1078 
6653   org.kie.api.runtime.manager.RuntimeEnvironmentBuilder newClasspathKmoduleDefaultBuilder()             newClasspathKmoduleDefaultBuilder                                                                     new classpath kmodule default builder                                                                 new classpath kmodule default builder               JJ NN  1082 
6654   org.kie.api.runtime.manager.RuntimeEnvironmentBuilder newClasspathKmoduleDefaultBuilder(java.lang.St  newClasspathKmoduleDefaultBuilder                                                                     new classpath kmodule default builder                                                                 new classpath kmodule default builder               JJ NN  1082 
6655   org.kie.api.runtime.manager.RuntimeEnvironmentBuilder newDefaultBuilder()                             newDefaultBuilder                                                                                     new default builder                                                                                   new default builder                                 JJ NN  1082 
6656   org.kie.api.runtime.manager.RuntimeEnvironmentBuilder newDefaultBuilder(java.lang.String,java.lang.S  newDefaultBuilder                                                                                     new default builder                                                                                   new default builder                                 JJ NN  1082 
6657   org.kie.api.runtime.manager.RuntimeEnvironmentBuilder newDefaultBuilder(java.lang.String,java.lang.S  newDefaultBuilder                                                                                     new default builder                                                                                   new default builder                                 JJ NN  1082 
6658   org.kie.api.runtime.manager.RuntimeEnvironmentBuilder newDefaultBuilder(org.kie.api.builder.ReleaseI  newDefaultBuilder                                                                                     new default builder                                                                                   new default builder                                 JJ NN  1082 
6659   org.kie.api.runtime.manager.RuntimeEnvironmentBuilder newDefaultBuilder(org.kie.api.builder.ReleaseI  newDefaultBuilder                                                                                     new default builder                                                                                   new default builder                                 JJ NN  1082 
6660   org.kie.api.runtime.manager.RuntimeEnvironmentBuilder newDefaultInMemoryBuilder()                     newDefaultInMemoryBuilder                                                                             new default in memory builder                                                                         new default in memory builder                       JJ NN  1082 
6661   org.kie.api.runtime.manager.RuntimeEnvironmentBuilder newEmptyBuilder()                               newEmptyBuilder                                                                                       new empty builder                                                                                     new empty builder                                   JJ JJ  1082 
6662   org.kie.internal.runtime.manager.RuntimeEnvironment get()                                             get                                                                                                   get                                                                                                   get                                                 VB     1083 
6663   org.kie.api.runtime.manager.RuntimeManager newPerCaseRuntimeManager(org.kie.api.runtime.manager.Runt  newPerCaseRuntimeManager                                                                              new per case runtime manager                                                                          new per case runtime manager                        JJ IN  492  
6664   org.kie.api.runtime.manager.RuntimeManager newPerCaseRuntimeManager(org.kie.api.runtime.manager.Runt  newPerCaseRuntimeManager                                                                              new per case runtime manager                                                                          new per case runtime manager                        JJ IN  492  
6665   org.kie.api.runtime.manager.RuntimeManager newPerProcessInstanceRuntimeManager(org.kie.api.runtime.m  newPerProcessInstanceRuntimeManager                                                                   new per process instance runtime manager                                                              new per process instance runtime manager            JJ IN  492  
6666   org.kie.api.runtime.manager.RuntimeManager newPerProcessInstanceRuntimeManager(org.kie.api.runtime.m  newPerProcessInstanceRuntimeManager                                                                   new per process instance runtime manager                                                              new per process instance runtime manager            JJ IN  492  
6667   org.kie.api.runtime.manager.RuntimeManager newPerRequestRuntimeManager(org.kie.api.runtime.manager.R  newPerRequestRuntimeManager                                                                           new per request runtime manager                                                                       new per request runtime manager                     JJ IN  492  
6668   org.kie.api.runtime.manager.RuntimeManager newPerRequestRuntimeManager(org.kie.api.runtime.manager.R  newPerRequestRuntimeManager                                                                           new per request runtime manager                                                                       new per request runtime manager                     JJ IN  492  
6669   org.kie.api.runtime.manager.RuntimeManager newSingletonRuntimeManager(org.kie.api.runtime.manager.Ru  newSingletonRuntimeManager                                                                            new singleton runtime manager                                                                         new singleton runtime manager                       JJ JJ  492  
6670   org.kie.api.runtime.manager.RuntimeManager newSingletonRuntimeManager(org.kie.api.runtime.manager.Ru  newSingletonRuntimeManager                                                                            new singleton runtime manager                                                                         new singleton runtime manager                       JJ JJ  492  
6671   org.kie.internal.runtime.manager.SessionFactory getSessionFactory(org.kie.api.runtime.manager.Runtim  getSessionFactory                                                                                     get session factory                                                                                   get session factory                                 VB NN  1084 
6672   org.kie.internal.runtime.manager.TaskServiceFactory getTaskServiceFactory(org.kie.api.runtime.manage  getTaskServiceFactory                                                                                 get task service factory                                                                              get task service factory                            VB NN  1085 
6673   void initTimerService(org.kie.api.runtime.manager.RuntimeEnvironment,org.kie.api.runtime.manager.Run  initTimerService                                                                                      init timer service                                                                                    init timer service                                  NN NN  15   
6674   <T> T createInstance(java.lang.Class,org.kie.api.runtime.manager.RuntimeEngine)                       createInstance                                                                                        create instance                                                                                       create instance                                     VB NN  26   
6675   void addAgendaListener(java.lang.Class)                                                               addAgendaListener                                                                                     add agenda listener                                                                                   add agenda listener                                 VB NN  15   
6676   void addGlobal(java.lang.String,java.lang.Object)                                                     addGlobal                                                                                             add global                                                                                            add global                                          VB JJ  15   
6677   void addProcessListener(java.lang.Class)                                                              addProcessListener                                                                                    add process listener                                                                                  add process listener                                VB NN  15   
6678   void addTaskListener(java.lang.Class)                                                                 addTaskListener                                                                                       add task listener                                                                                     add task listener                                   VB NN  15   
6679   void addWorkItemHandler(java.lang.String,java.lang.Class)                                             addWorkItemHandler                                                                                    add work item handler                                                                                 add work item handler                               VB NN  15   
6680   void addWorkingMemoryListener(java.lang.Class)                                                        addWorkingMemoryListener                                                                              add working memory listener                                                                           add work memory listener                            VB VB  15   
6681   boolean usePersistence()                                                                              usePersistence                                                                                        use persistence                                                                                       use persistence                                     NN NN  1    
6682   org.jbpm.process.core.timer.GlobalSchedulerService getSchedulerService()                              getSchedulerService                                                                                   get scheduler service                                                                                 get scheduler service                               VB NN  1052 
6683   org.kie.api.KieBase getKieBase()                                                                      getKieBase                                                                                            get kie base                                                                                          get kie base                                        VB NN  187  
6684   org.kie.api.runtime.Environment copyEnvironment()                                                     copyEnvironment                                                                                       copy environment                                                                                      copy environment                                    NN NN  122  
6685   org.kie.api.runtime.Environment getEnvironmentTemplate()                                              getEnvironmentTemplate                                                                                get environment template                                                                              get environment template                            VB NN  122  
6686   org.kie.api.runtime.KieSessionConfiguration getConfiguration()                                        getConfiguration                                                                                      get configuration                                                                                     get configuration                                   VB NN  291  
6687   org.kie.api.runtime.manager.RegisterableItemsFactory getRegisterableItemsFactory()                    getRegisterableItemsFactory                                                                           get registerable items factory                                                                        get registerable item factory                       VB JJ  1081 
6688   org.kie.internal.runtime.manager.Mapper getMapper()                                                   getMapper                                                                                             get mapper                                                                                            get mapper                                          VB NN  1080 
6689   void addAsset(org.kie.api.io.Resource,org.kie.api.io.ResourceType)                                    addAsset                                                                                              add asset                                                                                             add asset                                           VB NN  15   
6690   void addIfPresent(java.lang.String,org.kie.api.runtime.Environment)                                   addIfPresent                                                                                          add if present                                                                                        add if present                                      VB IN  15   
6691   void addToConfiguration(java.lang.String,java.lang.String)                                            addToConfiguration                                                                                    add to configuration                                                                                  add to configuration                                VB TO  15   
6692   void addToEnvironment(java.lang.String,java.lang.Object)                                              addToEnvironment                                                                                      add to environment                                                                                    add to environment                                  VB TO  15   
6693   java.lang.Long getPersistedSessionId(java.lang.String,java.lang.String)                               getPersistedSessionId                                                                                 get persisted session id                                                                              get persist session id                              VB VB  174  
6694   java.lang.String getLocation()                                                                        getLocation                                                                                           get location                                                                                          get location                                        VB NN  4    
6695   org.kie.api.runtime.manager.RuntimeEngine getRuntimeEngine(org.kie.api.runtime.manager.Context)       getRuntimeEngine                                                                                      get runtime engine                                                                                    get runtime engine                                  VB JJ  577  
6696   void persistSessionId(java.lang.String,java.lang.String,java.lang.Long)                               persistSessionId                                                                                      persist session id                                                                                    persist session id                                  VB NN  15   
6697   <T> T execute(org.jbpm.runtime.manager.impl.task.Command)                                             execute                                                                                               execute                                                                                               execute                                             VB     26   
6698   int compareTo(org.drools.persistence.OrderedTransactionSynchronization)                               compareTo                                                                                             compare to                                                                                            compare to                                          VB TO  3    
6699   java.lang.Long getProcessInstancId(org.drools.core.time.JobContext)                                   getProcessInstancId                                                                                   get process instanc id                                                                                get process instanc id                              VB NN  174  
6700   org.drools.persistence.TransactionManager getTransactionManager(org.drools.core.time.JobContext)      getTransactionManager                                                                                 get transaction manager                                                                               get transaction manager                             VB NN  500  
6701   org.kie.api.runtime.Environment getEnvironment(org.drools.core.time.JobContext)                       getEnvironment                                                                                        get environment                                                                                       get environment                                     VB NN  122  
6702   void teardown()                                                                                       teardown                                                                                              teardown                                                                                              teardown                                            NN     15   
6703   void testExecuteHumanTaskWithAsyncHandler()                                                           testExecuteHumanTaskWithAsyncHandler                                                                  test execute human task with async handler                                                            test execute human task with async handler          NN VB  15   
6704   void testExecuteProcessWithAsyncHandler()                                                             testExecuteProcessWithAsyncHandler                                                                    test execute process with async handler                                                               test execute process with async handler             NN VB  15   
6705   void testRunMultiEventProcessPerProcessInstanceRuntimeManager()                                       testRunMultiEventProcessPerProcessInstanceRuntimeManager                                              test run multi event process per process instance runtime manager                                     test run multus event process per process instance  NN NN  15   
6706   void testRunMultiEventProcessPerRequestRuntimeManager()                                               testRunMultiEventProcessPerRequestRuntimeManager                                                      test run multi event process per request runtime manager                                              test run multus event process per request runtime   NN NN  15   
6707   void testRunMultiEventProcessSingletonRuntimeManager()                                                testRunMultiEventProcessSingletonRuntimeManager                                                       test run multi event process singleton runtime manager                                                test run multus event process singleton runtime ma  NN NN  15   
6708   boolean isCausedByOptimisticLockingFailure(java.lang.Throwable)                                       isCausedByOptimisticLockingFailure                                                                    is caused by optimistic locking failure                                                               be cause by optimistic lock failure                 VBZ V  1    
6709   boolean testCompleteTask(org.kie.api.runtime.manager.RuntimeEngine)                                   testCompleteTask                                                                                      test complete task                                                                                    test complete task                                  NN JJ  1    
6710   boolean testCompleteTaskByProcessInstance(org.kie.api.runtime.manager.RuntimeEngine,long)             testCompleteTaskByProcessInstance                                                                     test complete task by process instance                                                                test complete task by process instance              NN JJ  1    
6711   void testNewSession()                                                                                 testNewSession                                                                                        test new session                                                                                      test new session                                    NN JJ  15   
6712   void testNewSessionFail()                                                                             testNewSessionFail                                                                                    test new session fail                                                                                 test new session fail                               NN JJ  15   
6713   void testNewSessionFailAfter()                                                                        testNewSessionFailAfter                                                                               test new session fail after                                                                           test new session fail after                         NN JJ  15   
6714   void testNewSessionFailAfter2()                                                                       testNewSessionFailAfter2                                                                              test new session fail after2                                                                          test new session fail after2                        NN JJ  15   
6715   void testNewSessionFailBefore()                                                                       testNewSessionFailBefore                                                                              test new session fail before                                                                          test new session fail before                        NN JJ  15   
6716   void testNewSessionSuccess()                                                                          testNewSessionSuccess                                                                                 test new session success                                                                              test new session success                            NN JJ  15   
6717   void testSessionPerProcessInstance()                                                                  testSessionPerProcessInstance                                                                         test session per process instance                                                                     test session per process instance                   NN NN  15   
6718   void testSingletonSession()                                                                           testSingletonSession                                                                                  test singleton session                                                                                test singleton session                              NN NN  15   
6719   void testSingletonSessionMemory()                                                                     testSingletonSessionMemory                                                                            test singleton session memory                                                                         test singleton session memory                       NN NN  15   
6720   void testStartProcess(org.kie.api.runtime.manager.RuntimeEngine)                                      testStartProcess                                                                                      test start process                                                                                    test start process                                  NN NN  15   
6721   void testDispose()                                                                                    testDispose                                                                                           test dispose                                                                                          test dispose                                        NN VB  15   
6722   org.drools.compiler.kie.builder.impl.InternalKieModule createKieJar(org.kie.api.KieServices,org.kie.  createKieJar                                                                                          create kie jar                                                                                        create kie jar                                      VB NN  521  
6723   void installKjar(org.kie.api.builder.ReleaseId,org.drools.compiler.kie.builder.impl.InternalKieModul  installKjar                                                                                           install kjar                                                                                          install kjar                                        VB NN  15   
6724   java.lang.String getStringVal()                                                                       getStringVal                                                                                          get string val                                                                                        get string val                                      VB NN  4    
6725   org.kie.internal.runtime.conf.ObjectModel getObjectModelParameter(java.lang.String,boolean)           getObjectModelParameter                                                                               get object model parameter                                                                            get object model parameter                          VB NN  1048 
6726   void roundTripDescriptorMarshallingTest()                                                             roundTripDescriptorMarshallingTest                                                                    round trip descriptor marshalling test                                                                round trip descriptor marshal test                  JJ NN  15   
6727   void testDefaultDeploymentDescriptor()                                                                testDefaultDeploymentDescriptor                                                                       test default deployment descriptor                                                                    test default deployment descriptor                  NN NN  15   
6728   void testDefaultDeploymentDescriptorFromClasspath()                                                   testDefaultDeploymentDescriptorFromClasspath                                                          test default deployment descriptor from classpath                                                     test default deployment descriptor from classpath   NN NN  15   
6729   void testDefaultDeploymentDescriptorFromFile()                                                        testDefaultDeploymentDescriptorFromFile                                                               test default deployment descriptor from file                                                          test default deployment descriptor from file        NN NN  15   
6730   void testDeploymentDescriptorFromKieContainer()                                                       testDeploymentDescriptorFromKieContainer                                                              test deployment descriptor from kie container                                                         test deployment descriptor from kie container       NN NN  15   
6731   void testDeploymentDescriptorFromKieContainerNoDescInKjar()                                           testDeploymentDescriptorFromKieContainerNoDescInKjar                                                  test deployment descriptor from kie container no desc in kjar                                         test deployment descriptor from kie container no d  NN NN  15   
6732   void testDeploymentDescriptorFromKieContainerWithDependency()                                         testDeploymentDescriptorFromKieContainerWithDependency                                                test deployment descriptor from kie container with dependency                                         test deployment descriptor from kie container with  NN NN  15   
6733   void testDeploymentDescriptorFromKieContainerWithDependencyMerged()                                   testDeploymentDescriptorFromKieContainerWithDependencyMerged                                          test deployment descriptor from kie container with dependency merged                                  test deployment descriptor from kie container with  NN NN  15   
6734   void changeDefaultLimitSerializationClassesValueToTrueIn7x()                                          changeDefaultLimitSerializationClassesValueToTrueIn7x                                                 change default limit serialization classes value to true in7 x                                        change default limit serialization class value to   NN NN  15   
6735   void testDeploymentDesciptorMergeHierarchy()                                                          testDeploymentDesciptorMergeHierarchy                                                                 test deployment desciptor merge hierarchy                                                             test deployment desciptor merge hierarchy           NN NN  15   
6736   void testDeploymentDesciptorMergeKeepAll()                                                            testDeploymentDesciptorMergeKeepAll                                                                   test deployment desciptor merge keep all                                                              test deployment desciptor merge keep all            NN NN  15   
6737   void testDeploymentDesciptorMergeMergeCollections()                                                   testDeploymentDesciptorMergeMergeCollections                                                          test deployment desciptor merge merge collections                                                     test deployment desciptor merge merge collection    NN NN  15   
6738   void testDeploymentDesciptorMergeMergeCollectionsAvoidDuplicates()                                    testDeploymentDesciptorMergeMergeCollectionsAvoidDuplicates                                           test deployment desciptor merge merge collections avoid duplicates                                    test deployment desciptor merge merge collection a  NN NN  15   
6739   void testDeploymentDesciptorMergeMergeCollectionsAvoidDuplicatesNamedObject()                         testDeploymentDesciptorMergeMergeCollectionsAvoidDuplicatesNamedObject                                test deployment desciptor merge merge collections avoid duplicates named object                       test deployment desciptor merge merge collection a  NN NN  15   
